price,avg_rating,battery_capacity,ram_capacity,internal_memory,screen_size,cpu_benchmark,hashed_brand_name,hashed_model
9899.0,8.3,5000,6,128.0,6.6,4182.0,86932135,3695357
10999.0,8.0,5000,6,128.0,6.8,6074.0,86932135,15891575
7599.0,8.3,4400,8,128.0,6.55,6134.0,86932135,51987431
9599.0,0.0,4450,8,128.0,6.67,6717.0,86932135,72416074
14999.0,8.9,4600,8,128.0,6.7,9113.0,86932135,75015669
7899.0,8.0,5000,6,128.0,6.5,4131.0,86932135,68317531
5500.0,6.8,4000,4,64.0,6.2,2664.0,86932135,39194578
12599.0,8.9,5000,8,128.0,6.6,7290.0,86932135,63319101
2200.0,0.0,3000,2,16.0,5.45,1433.0,59982760,59115080
2889.0,6.4,5050,4,64.0,6.52,1433.0,59982760,30563001
2999.0,6.2,5050,3,32.0,6.74,1433.0,59982760,18506751
3099.0,7.0,5000,4,64.0,6.52,2672.0,59982760,7802283
3299.0,7.1,5050,4,64.0,6.5,2672.0,59982760,39662961
4599.0,7.5,5050,6,128.0,6.5,2672.0,59982760,20780759
6588.0,8.1,4500,6,128.0,6.58,4182.0,59982760,41096050
4599.0,8.2,4470,6,128.0,6.67,3609.0,59982760,69169005
7299.0,8.5,4200,6,128.0,6.43,4182.0,59982760,4982104
7198.0,7.6,6000,6,64.0,6.81,5644.0,59982760,7115571
9798.0,8.7,6000,6,128.0,6.51,4889.0,59982760,59151764
10200.0,0.0,6000,8,128.0,6.51,4889.0,59982760,96324127
9500.0,8.4,4800,8,128.0,6.7,4266.0,1042633,33481229
3400.0,6.4,4230,3,32.0,6.22,1693.0,1042633,65527959
3799.0,6.6,4230,3,32.0,6.52,1613.0,1042633,74173483
3299.0,7.2,4230,4,128.0,6.52,1613.0,1042633,14524734
3899.0,6.9,5000,4,64.0,6.52,1661.0,1042633,52466391
2999.0,6.5,4230,3,32.0,6.52,1661.0,1042633,28546455
3355.0,6.8,4230,4,64.0,6.52,1661.0,1042633,27093056
3899.0,6.6,4230,4,64.0,6.52,1661.0,1042633,39643044
